AMT, Density, Average Pollen Distance, SD for Pollen Distance, SE for Pollen Distance, Average Max Pollen Distance, SD for Max Pollen Distance, SE for Max Pollen Distance, Average Weighted Diversity of Fathers, SD for Weighted Diversity of Fathers, SE for Weighted Diversity of Fathers
30, 0.05, 7.81588729110299, 1.77326033076505, 0.0440916975229749, 17.3395293359221, 2.80733478561459, 0.110509658322107, 4.27823950711121, 1.3536251955994, 0.0256926370032495
30, 0.07, 7.36492899940447, 1.72953754040799, 0.0354503060759974, 17.1017456026966, 2.75080400676864, 0.0896766342029337, 4.87184678368991, 1.41259017691383, 0.0236478883850235
30, 0.15, 5.77199338186526, 1.51259354424605, 0.0186239195404447, 13.11895018032, 2.3389573963673, 0.0445318999151857, 5.42455872670453, 1.50046029652586, 0.0183263348679737
30, 0.1, 6.70943760540497, 1.62541282441497, 0.0262095242804096, 15.8023338562533, 2.56978385440074, 0.0655126197674003, 5.3299590181047, 1.47732193730517, 0.0216512048007921
45, 0.01, 9.01530645183259, 2.2117227591895, 0.164526266044585, 12.8598699372398, 2.66355473979646, 0.238614659076289, 1.84503753621738, 0.927067504990475, 0.0289065715158989
45, 0.03, 7.64932438068968, 1.84790811000411, 0.0621791920200815, 15.0675949989058, 2.66798556674333, 0.129613811824934, 3.25256791709643, 1.21210312806463, 0.0267524447261323
45, 0.05, 7.20106472685715, 1.6971819550355, 0.0404332627339876, 15.6850772486306, 2.68364496342755, 0.101095563214338, 4.16006419509286, 1.3490421809043, 0.0255465956996112
45, 0.07, 6.79817789824561, 1.6312647811219, 0.0315251009150492, 15.5551561089684, 2.63345985697025, 0.0821601022067884, 4.67609365214265, 1.41329292118991, 0.0236631160190104
45, 0.15, 5.43734586884229, 1.4506350587909, 0.0171402238270472, 12.1953798107311, 2.23413054163242, 0.0406553066969926, 5.30262478944141, 1.48703969429728, 0.0180113088533821
45, 0.1, 6.23288927954953, 1.54410915638011, 0.0236461034251275, 14.4144620401328, 2.45611525231169, 0.0598275298787614, 5.19341491987116, 1.46802771836188, 0.0213733254943495
60, 0.01, 8.72505722371098, 2.11635879164555, 0.152289702948785, 12.1407000741965, 2.60627634376591, 0.230957925764216, 1.78256825868004, 0.924576482617958, 0.0290654888328915
60, 0.03, 7.09815892367701, 1.76239175424848, 0.0567363682751406, 13.7333261727261, 2.56553368919259, 0.120229785536449, 3.11954370403822, 1.18975400338548, 0.0258565738752401
60, 0.05, 6.69492778858947, 1.64638006637354, 0.0380714180043364, 14.5640407368751, 2.60698975803608, 0.0954591371195707, 3.96223755463899, 1.33448271117601, 0.0250129409449699
60, 0.07, 6.39710842831861, 1.56480561962624, 0.0290209281355861, 14.5569397420143, 2.52712495190215, 0.0756909463540928, 4.58988307642213, 1.39863932107955, 0.0231847261768347
60, 0.15, 5.23287888577932, 1.42224702310102, 0.0164628393160237, 11.6436365676359, 2.21346552141029, 0.0398749540331018, 5.19929404271693, 1.48314512775062, 0.0179028416882848
60, 0.1, 5.90145199681664, 1.50773116043654, 0.0225572667323781, 13.5792122225108, 2.38277636223295, 0.0563384922626043, 5.04109058293822, 1.43936625137718, 0.0205580200437858
90, 0.01, 7.55902158529703, 2.06624483730049, 0.150195832537001, 10.3371953779208, 2.40976441822771, 0.204288300033508, 1.69408843587103, 0.905504986749015, 0.0288453632479376
90, 0.03, 6.46143812874875, 1.70738888470314, 0.0533214489123858, 12.1578360694881, 2.47907327691139, 0.112412801260649, 2.89800550721053, 1.17012628205339, 0.0250439316972311
90, 0.05, 6.1432351493675, 1.59421613340099, 0.0356760181685718, 12.9905220116019, 2.50507837640416, 0.088089594960606, 3.73835915329464, 1.30725993189725, 0.0239886538002995
90, 0.07, 5.86061063586264, 1.51979951352212, 0.0274005954528007, 13.0382320738644, 2.40700656426144, 0.0687293042814865, 4.29577819752893, 1.37144130990426, 0.0223121721614139
90, 0.15, 4.8941971416081, 1.38519771837987, 0.0156188889394868, 10.6962140557349, 2.11115250685801, 0.0362798778633111, 4.98204219217173, 1.45529495038173, 0.0172396580211241
90, 0.1, 5.48242820765175, 1.45827485249067, 0.0211100150965812, 12.2969059112702, 2.27257994022049, 0.0512682045641388, 4.79357927499028, 1.42538304473771, 0.0201684697299943
