SDA, Density, Average Path Distance, SD for Path Distance, SE for Path Distance, Average Max Distance, SD for Max Distance, SE for Max Distance
15, 0.01, 433.630763435, 122.335121844004, 1.22335121844004, 50.03973260315, 17.3966276604445, 0.173966276604445,
15, 0.03, 196.9649362539, 62.2816474050409, 0.622816474050409, 33.54215859884, 13.0023956360462, 0.130023956360462,
15, 0.05, 130.3377917336, 41.3445725627058, 0.413445725627059, 26.31351931465, 10.4122740781512, 0.104122740781512,
15, 0.07, 98.5599552887901, 30.9820975920886, 0.309820975920886, 21.8404307883301, 8.85190821014464, 0.0885190821014464,
15, 0.15, 48.43701207246, 20.2445093540512, 0.202445093540512, 12.9621598502799, 5.88663979250504, 0.0588663979250504,
15, 0.1, 72.1118717259001, 25.235621150701, 0.25235621150701, 17.4515966517, 7.56090066676234, 0.0756090066676234,
20, 0.01, 439.3714366267, 128.814509723472, 1.28814509723472, 46.0899643545499, 16.4023877251452, 0.164023877251452,
20, 0.03, 198.975149872901, 65.4485431419119, 0.654485431419119, 30.8726220470401, 12.0371518503455, 0.120371518503455,
20, 0.05, 132.17680770165, 45.3324360389883, 0.453324360389883, 24.2348817660501, 9.66654717612749, 0.0966654717612749,
20, 0.07, 99.6545929712696, 33.2906785528058, 0.332906785528058, 20.5526318362999, 8.56438514159481, 0.0856438514159481,
20, 0.15, 48.5921780931999, 20.8217778179212, 0.208217778179212, 12.40462438567, 5.6162525207722, 0.056162525207722,
20, 0.1, 73.2170764278298, 26.550518839667, 0.26550518839667, 16.4749536722899, 6.96485839667562, 0.0696485839667562,
30, 0.01, 448.023447345801, 143.999901955263, 1.43999901955263, 39.8839401290901, 14.564215848293, 0.14564215848293,
30, 0.03, 204.017333493801, 71.1420212632853, 0.711420212632853, 27.2256412288001, 10.5820651983599, 0.105820651983599,
30, 0.05, 133.99165369733, 47.3878221364344, 0.473878221364344, 21.6352940305799, 8.64995339856458, 0.0864995339856458,
30, 0.07, 101.6157898582, 35.181374335147, 0.35181374335147, 18.27668917336, 7.38622868436425, 0.0738622868436425,
30, 0.15, 48.7834351552598, 21.3479775013093, 0.213479775013093, 11.56202242487, 5.18521509122085, 0.0518521509122085,
30, 0.1, 74.0027605515503, 28.4670025188349, 0.284670025188349, 15.04390464039, 6.43973447217634, 0.0643973447217634,
