AMT, Density, Average Pollen Distance, SD for Pollen Distance, SE for Pollen Distance, Average Max Pollen Distance, SD for Max Pollen Distance, SE for Max Pollen Distance, Average Weighted Diversity of Fathers, SD for Weighted Diversity of Fathers, SE for Weighted Diversity of Fathers
135, 0.15, 3.78642918552934, 1.27479052675081, 0.0134961106436126, 7.29694677091799, 1.83185200317497, 0.0278683812075529, 3.59189882455604, 1.2914189481688, 0.0138504946401955
135, 0.1, 4.12248187680614, 1.32266458272333, 0.0174830556886061, 8.28561264543795, 1.95273544476059, 0.0381069956699324, 3.48162506140472, 1.27676362019536, 0.0162906679235617
15, 0.01, 13.7076436269518, 2.83441762545948, 0.266029783314951, 21.3414944835307, 3.59173128501464, 0.427179355201659, 2.11032321707272, 1.0150088505304, 0.0341147536243321
15, 0.03, 11.0831455472679, 2.27825008254549, 0.0941692051270457, 23.3879020269585, 3.40051731291876, 0.209795464856063, 3.63706725270857, 1.27000161774436, 0.0292627180987768
15, 0.05, 9.83737632141593, 2.0651296900068, 0.0598066094863998, 22.6997189170896, 3.22019989274475, 0.145418675195264, 4.52994696699586, 1.37355401505068, 0.0264573295471736
15, 0.07, 9.02280974703491, 1.94997203267472, 0.0450215718050235, 21.5704654411187, 3.09222566152745, 0.11321559357742, 5.09844248690657, 1.44697364531581, 0.0247904910974652
15, 0.15, 6.41125289455933, 1.67438233073141, 0.0229345575664679, 14.504817990629, 2.55671552814702, 0.0534743999604258, 5.06676137678986, 1.46589397631847, 0.0175786784566154
15, 0.1, 8.00346310714356, 1.825015933264, 0.0330500388792524, 19.4854808742123, 2.91318143356815, 0.0842119493824215, 5.42131995325371, 1.48027798917439, 0.0217432879279212
180, 0.01, 4.8957611419423, 1.73442560277563, 0.131919707500362, 5.71521155963462, 1.88478181612034, 0.155783154775022, 1.24589975099642, 0.653150499279681, 0.0187078920189936
180, 0.03, 4.0906515143859, 1.46590621058153, 0.0422978572667445, 6.25738833000001, 1.9353772972093, 0.073728819838851, 1.82504125253125, 0.938380586355182, 0.0173326124453048
180, 0.05, 4.11115214571067, 1.45988793257005, 0.0309042433153757, 7.16076812457317, 1.99355454768417, 0.0576282356903343, 2.34008637549331, 1.09576395177973, 0.0174105742265926
180, 0.07, 3.94733738896798, 1.36778661189442, 0.0225713912282592, 7.21833755879329, 1.93060721520232, 0.0449686118430357, 2.70445033121877, 1.15752306659381, 0.0161651947028033
180, 0.15, 3.40520856381348, 1.22705964759507, 0.0126087369978557, 6.27357706602981, 1.73685959557545, 0.0252621123278461, 3.16746037917486, 1.2262972067364, 0.0125930728374292
180, 0.1, 3.72925361691848, 1.31502663993091, 0.017444503923875, 7.07611644250207, 1.89248098779892, 0.0361287197577588, 2.99501561617341, 1.21004692094383, 0.0147704573785989
30, 0.01, 11.8336632442286, 2.56474898116297, 0.219142865642317, 18.041127150111, 3.11783946795031, 0.323850897714137, 2.02580348020151, 0.979533185539042, 0.0319650885999987
30, 0.03, 9.59958358904857, 2.04461793698781, 0.0759832949467774, 19.4781456185498, 3.02829211290426, 0.16668223701288, 3.54295541922795, 1.24891505746348, 0.0283504262479241
30, 0.05, 8.68177277710915, 1.91795058924465, 0.0515857026564748, 19.4875198467453, 2.97710376616614, 0.124291796592341, 4.41345479797204, 1.37005414084473, 0.0263226725140169
30, 0.07, 8.07773875541677, 1.79715121859216, 0.0382601205792181, 19.1881901472917, 2.92172891759139, 0.101124626118693, 4.96496900489823, 1.42927215883018, 0.0241995315519148
30, 0.15, 6.09258081599761, 1.62155372492724, 0.0215296265676005, 13.5483889419589, 2.46042738089729, 0.0495672603494268, 4.99459183778629, 1.47386003867037, 0.0177863281378023
30, 0.1, 7.29905576172644, 1.71018146887038, 0.0290245712373156, 17.5345868496966, 2.74793540629292, 0.0749366820748976, 5.32991225780927, 1.46453092159859, 0.0212852380585753
45, 0.01, 9.61999403239373, 2.259037645437, 0.170678248330918, 14.1696318310515, 2.81606103803689, 0.265225555925521, 1.87187248258022, 0.944430349979247, 0.0298312265710802
45, 0.03, 8.20445934025122, 1.90309504452345, 0.0658503772452677, 16.2442156825786, 2.80040352277704, 0.142586543461492, 3.36581922337072, 1.22175915467545, 0.0271399169460596
45, 0.05, 7.51970670376452, 1.73370822883614, 0.0421757597451507, 16.5396806912936, 2.75371316859897, 0.106401633759826, 4.2320720873482, 1.35160583098115, 0.0256336828641574
45, 0.07, 7.09040190446505, 1.68245118520297, 0.0335416142652233, 16.4841525442853, 2.67480008945036, 0.0847777084630022, 4.80752836246175, 1.40557427551357, 0.0234102804102201
