AMT, Density, Average Path Distance, SD for Path Distance, SE for Path Distance, Average Max Distance, SD for Max Distance, SE for Max Distance
45, 0.1, 72.1141774963998, 25.4342407475773, 0.254342407475773, 18.2800543109401, 7.95579587390231, 0.0795579587390231,
60, 0.01, 439.791517655998, 129.057067122013, 1.29057067122013, 44.4922767294499, 15.7071097688842, 0.157071097688842,
60, 0.03, 201.7195839192, 67.666979946976, 0.67666979946976, 30.3183072547101, 11.772180734937, 0.11772180734937,
60, 0.05, 131.92520062655, 43.5216517807399, 0.435216517807399, 23.6125200501799, 9.3338529572296, 0.093338529572296,
60, 0.07, 99.8596126485997, 33.3894978893763, 0.333894978893763, 19.8950258, 8.11340911462552, 0.0811340911462552,
60, 0.15, 48.33908697578, 20.5424518527744, 0.205424518527744, 12.2672832904, 5.55102512152245, 0.0555102512152245,
60, 0.1, 72.99671364315, 26.1075125629271, 0.261075125629271, 16.25558187836, 6.91273690322508, 0.0691273690322508,
90, 0.01, 469.569689720499, 167.598764972648, 1.67598764972648, 33.5328853820499, 12.4850878754965, 0.124850878754965,
90, 0.03, 213.2254949016, 86.023445976347, 0.86023445976347, 22.8600704074199, 8.91423985934759, 0.0891423985934759,
90, 0.05, 139.9606187064, 54.4103377189374, 0.544103377189374, 18.45078818357, 7.37643195792916, 0.0737643195792916,
90, 0.07, 104.351222043009, 40.6973547943074, 0.406973547943074, 15.86009615802, 6.40755741096162, 0.0640755741096162,
90, 0.15, 50.31359748256, 23.0256992814781, 0.230256992814781, 10.5336841195, 4.60201934299456, 0.0460201934299456,
90, 0.1, 75.7381310270003, 31.4483160644453, 0.314483160644453, 13.41064619905, 5.5539450638442, 0.055539450638442,
